rank,gid,role,priority_score,why
1,100000004156082100,coordinator,0.901633,"Coordination signs: 5 senders, 26 recipients, KZT377k in/KZT2.3m out; structural 0.96."
2,100000003115284100,coordinator,0.90006,"Coordination signs: 8 senders, 2 recipients, KZT2.2m in/KZT517k out; structural 0.91."
3,100000007442518100,coordinator,0.893388,"Coordination signs: 5 senders, 9 recipients, KZT510k in/KZT4.4m out; structural 0.91."
4,100000008603629100,coordinator,0.892735,"Coordination signs: 19 senders, 61 recipients, KZT1.8m in/KZT5.0m out; structural 0.98."
5,100000008686313100,coordinator,0.892629,"Coordination signs: 6 senders, 7 recipients, KZT1.9m in/KZT334k out; structural 0.90."
6,100000003701161100,coordinator,0.891185,"Coordination signs: 4 senders, 3 recipients, KZT1.5m in/KZT349k out; structural 0.92."
7,100000008165763100,coordinator,0.890441,"Coordination signs: 15 senders, 17 recipients, KZT1.2m in/KZT1.3m out; structural 0.94."
8,100000000437046100,coordinator,0.88668,"Coordination signs: 9 senders, 42 recipients, KZT1.1m in/KZT7.6m out; structural 0.97."
9,100000003684369100,coordinator,0.885321,"Coordination signs: 24 senders, 62 recipients, KZT3.8m in/KZT8.6m out; structural 0.98. Seed inflow incomplete."
10,100000005473151100,coordinator,0.883938,"Coordination signs: 3 senders, 4 recipients, KZT1.2m in/KZT225k out; structural 0.84."
11,100000001857829100,coordinator,0.871748,"Coordination signs: 6 senders, 16 recipients, KZT889k in/KZT2.4m out; structural 0.95."
12,100000004400305100,coordinator,0.86983,"Coordination signs: 7 senders, 82 recipients, KZT223k in/KZT5.8m out; structural 0.88."
13,100000006889963100,consolidator,0.868909,"Consolidation signs: 4 senders, KZT1.4m in, 1 recipients; investigation hypothesis."
14,100000008346837100,coordinator,0.868223,"Coordination signs: 9 senders, 25 recipients, KZT254k in/KZT1.3m out; structural 0.94."
15,100000008710791100,coordinator,0.867565,"Coordination signs: 3 senders, 23 recipients, KZT182k in/KZT5.5m out; structural 0.81."
16,100000002957787100,coordinator,0.866395,"Coordination signs: 4 senders, 34 recipients, KZT85k in/KZT1.3m out; structural 0.95."
17,100000008477350100,coordinator,0.865895,"Coordination signs: 11 senders, 39 recipients, KZT610k in/KZT3.4m out; structural 0.98."
18,100000005782781100,coordinator,0.86556,"Coordination signs: 6 senders, 10 recipients, KZT172k in/KZT1.3m out; structural 0.88."
19,100000003635170100,coordinator,0.865141,"Coordination signs: 3 senders, 4 recipients, KZT268k in/KZT254k out; structural 0.91."
20,100000005933757100,coordinator,0.86462,"Coordination signs: 4 senders, 34 recipients, KZT1.2m in/KZT3.0m out; structural 0.98."
